order,song_title,artist,video_id,audio_url,cover_image,duration
1,Pyaro Vrindavan,Indresh Upadhyay Ji & B Praak,kNK7XYZcyBM,https://www.youtube.com/watch?v=kNK7XYZcyBM,https://i.ytimg.com/vi/kNK7XYZcyBM/hqdefault.jpg,13:48
2,Radha Gori Gori,Indresh Upadhyay Ji & B Praak,xVU2UDaFOfE,https://www.youtube.com/watch?v=xVU2UDaFOfE,https://i.ytimg.com/vi/xVU2UDaFOfE/hqdefault.jpg,05:55
3,Mere Banke Bihari Laal,Madhavas Rock Band,Cm0MZ5WfTzw,https://www.youtube.com/watch?v=Cm0MZ5WfTzw,https://i.ytimg.com/vi/Cm0MZ5WfTzw/hqdefault.jpg,05:09
4,Shri Krishna Govind Hare Murari,Jubin Nautiyal,1qmPNot9NJs,https://www.youtube.com/watch?v=1qmPNot9NJs,https://i.ytimg.com/vi/1qmPNot9NJs/hqdefault.jpg,02:35
5,Tum Prem Ho (RadhaKrishn),Mohit Lalwani & Bharat Kamal,Feoea8FQTI0,https://www.youtube.com/watch?v=Feoea8FQTI0,https://i.ytimg.com/vi/Feoea8FQTI0/hqdefault.jpg,05:03
6,Radhika Dulari,Indresh Upadhyay Ji & B Praak,0Wz4ROngCMI,https://www.youtube.com/watch?v=0Wz4ROngCMI,https://i.ytimg.com/vi/0Wz4ROngCMI/hqdefault.jpg,06:44
7,Aesi Kripa Karo Shree Radhe,Vianet LoFi Bhajans,lpP2_2o2XvE,https://www.youtube.com/watch?v=lpP2_2o2XvE,https://i.ytimg.com/vi/lpP2_2o2XvE/hqdefault.jpg,07:02
8,Mai Bairagan,Shri Indresh Upadhyay Ji,LLAvgTeXXy8,https://www.youtube.com/watch?v=LLAvgTeXXy8,https://i.ytimg.com/vi/LLAvgTeXXy8/hqdefault.jpg,06:00
9,Mero Mann Vrindavan Mein Atko,Shri Indresh Upadhyay Ji & Mohit Lalwani,3o95qn8BjdQ,https://www.youtube.com/watch?v=3o95qn8BjdQ,https://i.ytimg.com/vi/3o95qn8BjdQ/hqdefault.jpg,06:07
10,Namo Namo,Kedarnath & Sushant Rajput,dx4Teh-nv3A,https://www.youtube.com/watch?v=dx4Teh-nv3A,https://i.ytimg.com/vi/dx4Teh-nv3A/hqdefault.jpg,05:29
